	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 20:46:19 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-5.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
         2097152     512  999563 2358857  6694329  6753457 6627332 2496918 6719489  4379604  6669482  2220437  2230711 6727074  6747810
         2097152    1024 1003785 2371040  6791868  6850300 6801363 2478604 6820475  4702209  6783979  2233931  2234845 6903727  6912826
         2097152    2048  999800 2286541  6808870  6878456 6848961 2404321 6859403  4188281  6861442  2152370  2151984 6870005  6885774
         2097152    4096 1008080 2373675  6648150  6713832 6696143 2541488 6682124  4555689  6695949  2220505  2212328 6659444  6706855
         2097152    8192 1000709 2334669  5989058  6055722 6017097 2480404 6018394  3836988  6026905  1906550  1913323 6020779  6037678
         2097152   16384  962561 2149587  3902279  3925868 3919419 2275962 3933328  2467591  3929620  1590311  1572946 3845296  3840924

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   633392  863676  874936  855419  852702 
"128"   819893  955616  969421  1007629  1040839  921183 
"256"   861885  970126  1058076  1062263  1098113  1089202  1012194 
"512"   709019  986529  1042566  1111070  1071167  1093531  1108203  982917 
"1024"   897438  977060  983774  1063425  1051192  1090423  1047091  1079190  986485 
"2048"   886217  948136  978485  1010841  1011913  1021418  1028142  1031724  1031724  953504 
"4096"   846265  874658  936242  957052  972217  981549  979199  973153  974091  965985  946402 
"8192"   845511  927318  982161  1022100  1021704  989486  1017258  1031582  994182  970729  962759  965247 
"16384"   862640  914129  948812  959584  987635  993920  988658  999631  970616  982481  974650  958901  948249 
"32768"   0  0  0  0  961361  970965  975846  971047  968344  971335  967806  951867  925179 
"65536"   0  0  0  0  953444  970083  971335  973498  976851  967648  972327  961613  934028 
"131072"   0  0  0  0  959320  968859  972885  973883  974288  964225  976299  961453  936778 
"262144"   0  0  0  0  966921  973452  972041  993752  987713  1004059  993733  982213  951454 
"524288"   0  0  0  0  987218  982022  986076  995911  996792  997200  1000670  978580  952160 
"1048576"   0  0  0  0  993223  1004995  983531  994677  1006980  998448  997896  983071  964978 
"2097152"   0  0  0  0  998142  999078  1000836  999563  1003785  999800  1008080  1000709  962561 

"Re-writer report"
